source,target,sentence,document
"32,800.0 0",Euros,"8,000.00 Euros) from th e Company, amount which was 
allegedly decreased from an initial sum of 32,800.0 0 Euros to be paid to the Airport for 
storage fees for goods kept in the Cargo section of  the Airport from 24.12.03 until 
15.3.2004, thereby committing the offence of Embezzlement , in violation of Article 219 
para.",51.pdf
KCC,"one to ten years 
 
","1 and 3 of the KCC punishable by imprisonment  of one to ten years 
 
(equivalent to Misappropriation in Office , in violation of Article 340, (1) and (3) of the 
PCCK) 
 
and  Complicity, in violation of Article 22 of Criminal Code of SFRY  ( equivalent Co -
Perpetration , in violation of PCCK Article 23.) 
 
 
",51.pdf
"one to ten years 
 
",Misappropriation in Office,"1 and 3 of the KCC punishable by imprisonment  of one to ten years 
 
(equivalent to Misappropriation in Office , in violation of Article 340, (1) and (3) of the 
PCCK) 
 
and  Complicity, in violation of Article 22 of Criminal Code of SFRY  ( equivalent Co -
Perpetration , in violation of PCCK Article 23.) 
 
 
",51.pdf
Misappropriation in Office,PCCK,"1 and 3 of the KCC punishable by imprisonment  of one to ten years 
 
(equivalent to Misappropriation in Office , in violation of Article 340, (1) and (3) of the 
PCCK) 
 
and  Complicity, in violation of Article 22 of Criminal Code of SFRY  ( equivalent Co -
Perpetration , in violation of PCCK Article 23.) 
 
 
",51.pdf
PCCK,PCCK,"1 and 3 of the KCC punishable by imprisonment  of one to ten years 
 
(equivalent to Misappropriation in Office , in violation of Article 340, (1) and (3) of the 
PCCK) 
 
and  Complicity, in violation of Article 22 of Criminal Code of SFRY  ( equivalent Co -
Perpetration , in violation of PCCK Article 23.) 
 
 
",51.pdf
14 th  March 2004,16 th  March 2004,"Count 3  
 
That between the dates 14 th  March 2004 and 16 th  March 2004 inclusive Official 1 and 
Official 2 acting in complicity, with the intention  to inflict damage to a business 
organization, abused their official position and ex ceeded the limits of their authorization 
and did not execute their official duties, by faili ng to collect, on behalf of their employer, 
the appropriate storage fee from the Company , and depriving the airport of that amount , 
thereby  committing the criminal offence of Abusing Official Position of Authority  in 
violation of Article 339 para.",51.pdf
16 th  March 2004,Company,"Count 3  
 
That between the dates 14 th  March 2004 and 16 th  March 2004 inclusive Official 1 and 
Official 2 acting in complicity, with the intention  to inflict damage to a business 
organization, abused their official position and ex ceeded the limits of their authorization 
and did not execute their official duties, by faili ng to collect, on behalf of their employer, 
the appropriate storage fee from the Company , and depriving the airport of that amount , 
thereby  committing the criminal offence of Abusing Official Position of Authority  in 
violation of Article 339 para.",51.pdf
eight years,Abuse of Office,"1 and 3 of PCCK, pun ishable by imprisonment of one to 
eight years   
 (equivalent to Abuse of Office  in violation of Article 210 (1) and (3) 
 
and  Co-Perpetration , in violation of PCCK Article 23. 
 
 
",51.pdf
Abuse of Office,Co-Perpetration,"1 and 3 of PCCK, pun ishable by imprisonment of one to 
eight years   
 (equivalent to Abuse of Office  in violation of Article 210 (1) and (3) 
 
and  Co-Perpetration , in violation of PCCK Article 23. 
 
 
",51.pdf
Co-Perpetration,PCCK,"1 and 3 of PCCK, pun ishable by imprisonment of one to 
eight years   
 (equivalent to Abuse of Office  in violation of Article 210 (1) and (3) 
 
and  Co-Perpetration , in violation of PCCK Article 23. 
 
 
",51.pdf
UNMIK Pillar,the Department of Justice,"The ITF offers the following recommendations: 
Recommendation 1 : The ITF recommends that UNMIK Pillar IV take no ad ministrative 
action against Official 1 and Official 2 pending th e resolution of their respective cases by 
the Department of Justice (IV04/192/01). 
",51.pdf
ITF,UNMIK Pillar IV,"Recommendation 2 :  The ITF recommends that UNMIK Pillar IV take appr opriate 
disciplinary action against Official 1 if he/she is  not criminally charged or sentenced by 
the competent authorities (IV04/192/02). 
",51.pdf
ITF,UNMIK Pillar IV,"Recommendation 3 : The ITF recommends that UNMIK Pillar IV take appro priate 
disciplinary action against Official 2 if he/she is  not criminally charged or sentenced by 
the competent authorities (IV04/192/03).",51.pdf
STRICTLY,"UNITED NATIONS  
 
 
 
 
 
 
Investigation Task Force","STRICTLY CONFIDENTIAL  
 
 
 
 
 
 
 
 
 
UNITED NATIONS  
 
 
 
 
 
 
Investigation Task Force 
Kosovo 
 
 
 
 
 
 
 
 
 
REDACTED 
REPORT OF INVESTIGATION 
 
CASE NO. 0049-04 
 
 
 
 
 
 
 
 
 
 1 of 12    
UNITED NATIONS  
United Nations Interim 
Administration Mission 
",2.pdf
"UNITED NATIONS  
 
 
 
 
 
 
Investigation Task Force",0049-04,"STRICTLY CONFIDENTIAL  
 
 
 
 
 
 
 
 
 
UNITED NATIONS  
 
 
 
 
 
 
Investigation Task Force 
Kosovo 
 
 
 
 
 
 
 
 
 
REDACTED 
REPORT OF INVESTIGATION 
 
CASE NO. 0049-04 
 
 
 
 
 
 
 
 
 
 1 of 12    
UNITED NATIONS  
United Nations Interim 
Administration Mission 
",2.pdf
0049-04,UNITED NATIONS,"STRICTLY CONFIDENTIAL  
 
 
 
 
 
 
 
 
 
UNITED NATIONS  
 
 
 
 
 
 
Investigation Task Force 
Kosovo 
 
 
 
 
 
 
 
 
 
REDACTED 
REPORT OF INVESTIGATION 
 
CASE NO. 0049-04 
 
 
 
 
 
 
 
 
 
 1 of 12    
UNITED NATIONS  
United Nations Interim 
Administration Mission 
",2.pdf
Kosovo,"Intérimaire des Nations 
Unies","In Kosovo   
UNMIK  NATIONS UNIES  
Mission d’Administration 
Intérimaire des Nations 
Unies au",2.pdf
"Kosovo  
 
 Investigation Task Force",December 2004,"Kosovo  
 
 Investigation Task Force  
 
 
                                                                                                       17 December 2004                 
 
 
Case 0049/04  
 
 
I. INTRODUCTION  
 
1.",2.pdf
The Investigation Task Force,Kosovo,"The Investigation Task Force (ITF) Kosovo, condu cted an investigation into 
the circumstances surrounding frequent cash withdra wals made from the bank 
account of Air Traffic Control Services (ATCS), Pri shtina International Airport.  ",2.pdf
Kosovo,withdra,"The Investigation Task Force (ITF) Kosovo, condu cted an investigation into 
the circumstances surrounding frequent cash withdra wals made from the bank 
account of Air Traffic Control Services (ATCS), Pri shtina International Airport.  ",2.pdf
withdra,Air Traffic Control Services,"The Investigation Task Force (ITF) Kosovo, condu cted an investigation into 
the circumstances surrounding frequent cash withdra wals made from the bank 
account of Air Traffic Control Services (ATCS), Pri shtina International Airport.  ",2.pdf
Air Traffic Control Services,Pri,"The Investigation Task Force (ITF) Kosovo, condu cted an investigation into 
the circumstances surrounding frequent cash withdra wals made from the bank 
account of Air Traffic Control Services (ATCS), Pri shtina International Airport.  ",2.pdf
2003,"the Chartered 
Accountants","This 
investigation was triggered by a forensic audit rep ort of Public Enterprise Airport 
Prishtina (PEAP) and ATCS that was released in Febr uary 2003 by the Chartered 
Accountants.",2.pdf
the Prishtina Airpor,Kosovo Trust Agency,"The activities of the Prishtina Airpor t fall under the control of the 
Kosovo Trust Agency and UNMIK Pillar IV, which is a dministered by the European 
Union.",2.pdf
Kosovo Trust Agency,UNMIK Pillar IV,"The activities of the Prishtina Airpor t fall under the control of the 
Kosovo Trust Agency and UNMIK Pillar IV, which is a dministered by the European 
Union.",2.pdf
UNMIK Pillar IV,"the European 
Union","The activities of the Prishtina Airpor t fall under the control of the 
Kosovo Trust Agency and UNMIK Pillar IV, which is a dministered by the European 
Union.",2.pdf
UNMIK,the Provisional Institutions,"Investigations into allegations of fraud and  corruption involving UNMIK, its 
pillars and other organizational structures as well  as the Provisional Institutions of 
Self-Government (PISG) and independent bodies and o ffices established pursuant to 
the Constitutional Framework for Provisional Self-G overnment in Kosovo fall 
within the purview of ITF as laid out by the Execut ive Decision on the Establishment 
of the Investigation Task Force UNMIK/ED/2003/16, d ated 21 October 2003. 
 
 
",2.pdf
the Provisional Institutions,Self-Government,"Investigations into allegations of fraud and  corruption involving UNMIK, its 
pillars and other organizational structures as well  as the Provisional Institutions of 
Self-Government (PISG) and independent bodies and o ffices established pursuant to 
the Constitutional Framework for Provisional Self-G overnment in Kosovo fall 
within the purview of ITF as laid out by the Execut ive Decision on the Establishment 
of the Investigation Task Force UNMIK/ED/2003/16, d ated 21 October 2003. 
 
 
",2.pdf
Self-Government,PISG,"Investigations into allegations of fraud and  corruption involving UNMIK, its 
pillars and other organizational structures as well  as the Provisional Institutions of 
Self-Government (PISG) and independent bodies and o ffices established pursuant to 
the Constitutional Framework for Provisional Self-G overnment in Kosovo fall 
within the purview of ITF as laid out by the Execut ive Decision on the Establishment 
of the Investigation Task Force UNMIK/ED/2003/16, d ated 21 October 2003. 
 
 
",2.pdf
PISG,the Constitutional Framework for Provisional Self-G,"Investigations into allegations of fraud and  corruption involving UNMIK, its 
pillars and other organizational structures as well  as the Provisional Institutions of 
Self-Government (PISG) and independent bodies and o ffices established pursuant to 
the Constitutional Framework for Provisional Self-G overnment in Kosovo fall 
within the purview of ITF as laid out by the Execut ive Decision on the Establishment 
of the Investigation Task Force UNMIK/ED/2003/16, d ated 21 October 2003. 
 
 
",2.pdf
the Constitutional Framework for Provisional Self-G,Kosovo,"Investigations into allegations of fraud and  corruption involving UNMIK, its 
pillars and other organizational structures as well  as the Provisional Institutions of 
Self-Government (PISG) and independent bodies and o ffices established pursuant to 
the Constitutional Framework for Provisional Self-G overnment in Kosovo fall 
within the purview of ITF as laid out by the Execut ive Decision on the Establishment 
of the Investigation Task Force UNMIK/ED/2003/16, d ated 21 October 2003. 
 
 
",2.pdf
