source,target,sentence,document,cleaned_source,cleaned_target
the ATC S Official and Official,"1.176,00","These bills were in 
particular, €525,00  “Present for International Sta ff”; €410,00  “Present for Official 3 
(Nokia 8850)”; €918,00  “Palm organizer for the ATC S Official and Official 3” and 
€1.176,00  “Recharging scratch cards VALA 900 (20*2 3.52) + (12*58.8)”; €960,00  
“Payment for mobile phone” and €940,00  “Rent a car  for the ATCS Official”. 
",2.pdf,the atc s official and official,117600
"1.176,00",VALA,"These bills were in 
particular, €525,00  “Present for International Sta ff”; €410,00  “Present for Official 3 
(Nokia 8850)”; €918,00  “Palm organizer for the ATC S Official and Official 3” and 
€1.176,00  “Recharging scratch cards VALA 900 (20*2 3.52) + (12*58.8)”; €960,00  
“Payment for mobile phone” and €940,00  “Rent a car  for the ATCS Official”. 
",2.pdf,117600,vala
VALA,2 3.52) + (,"These bills were in 
particular, €525,00  “Present for International Sta ff”; €410,00  “Present for Official 3 
(Nokia 8850)”; €918,00  “Palm organizer for the ATC S Official and Official 3” and 
€1.176,00  “Recharging scratch cards VALA 900 (20*2 3.52) + (12*58.8)”; €960,00  
“Payment for mobile phone” and €940,00  “Rent a car  for the ATCS Official”. 
",2.pdf,vala,2 352
2 3.52) + (,"960,00","These bills were in 
particular, €525,00  “Present for International Sta ff”; €410,00  “Present for Official 3 
(Nokia 8850)”; €918,00  “Palm organizer for the ATC S Official and Official 3” and 
€1.176,00  “Recharging scratch cards VALA 900 (20*2 3.52) + (12*58.8)”; €960,00  
“Payment for mobile phone” and €940,00  “Rent a car  for the ATCS Official”. 
",2.pdf,2 352,96000
25 May 2002,21 May 2002,"Info rmation contained in the file 
46/2002 suggests that this document might have been  created after-the-fact, as had 
this request been submitted for approval on 25 May 2002 (as indicated), it would be 
impossible for the approval dates written on the do cument to be 21 May 2002 and 22 
May 2002 respectively.",2.pdf,25 may 2002,21 may 2002
21 May 2002,May 2002,"Info rmation contained in the file 
46/2002 suggests that this document might have been  created after-the-fact, as had 
this request been submitted for approval on 25 May 2002 (as indicated), it would be 
impossible for the approval dates written on the do cument to be 21 May 2002 and 22 
May 2002 respectively.",2.pdf,21 may 2002,may 2002
01 July 2002,06/2002,"Official 4 was also requested to review the fil es dated after 01 July 2002, in 
particular files 01/2002; 05/2002; 06/2002; 07/2002  and 08/2002.",2.pdf,01 july 2002,062002
ITF,Prishtina Air,The ITF interviewed Official 1 at Prishtina Air port.,2.pdf,itf,prishtina air
Shinf ield Park,London,"During this mission they all rec eived free accommodation, all 
meals were provided as well as transport from Shinf ield Park to London upon their 
return.",2.pdf,shinf ield park,london
Prishtina,1158,"When he/she returned to Prishtina he/she wa s not requested to return any 
of the per-diem, adding that he/she knew that the A TCS Official and Official 3 also 
did not return any of the allocated funds (€1158).  
 
",2.pdf,prishtina,1158
ITF,30 June 2002,"The ITF interviewed the ATCS Official on two oc casions and he/she 
acknowledged that cases 46/2002; 49/2002; 55/2002 a nd 59/2002 (the time period 
up to 30 June 2002) all show numerous irregularitie s.",2.pdf,itf,30 june 2002
ITF,ATCS,"The ITF concluded that it is very 
likely that those funds were paid to the ATCS emplo yees on per-diem or salaries, 
however sufficient documentation to prove those pay ments was not available to the 
ITF investigators despite numerous attempts made in  order to secure such 
documentation.",2.pdf,itf,atcs
includin g,Nokia 8850,"The ATCS Official further indicated that his/he r superiors approved all the 
bills that were in the petty cash binders, includin g, for example: €525,00  “Present for 
International Staff”; €410,00  “Present for Officia l 3 (Nokia 8850)”; €918,00  “Palm 
organizer for the ATCS Official and Official 3”; €1 .176,00  “Recharging scratch cards 
VALA 900 (20*23.52) + (12*58.8)”; €960,00  “Payment  for mobile phone” and €940,00  
“Rent a car for Head of Department”.",2.pdf,includin g,nokia 8850
Nokia 8850,VALA,"The ATCS Official further indicated that his/he r superiors approved all the 
bills that were in the petty cash binders, includin g, for example: €525,00  “Present for 
International Staff”; €410,00  “Present for Officia l 3 (Nokia 8850)”; €918,00  “Palm 
organizer for the ATCS Official and Official 3”; €1 .176,00  “Recharging scratch cards 
VALA 900 (20*23.52) + (12*58.8)”; €960,00  “Payment  for mobile phone” and €940,00  
“Rent a car for Head of Department”.",2.pdf,nokia 8850,vala
VALA,"960,00","The ATCS Official further indicated that his/he r superiors approved all the 
bills that were in the petty cash binders, includin g, for example: €525,00  “Present for 
International Staff”; €410,00  “Present for Officia l 3 (Nokia 8850)”; €918,00  “Palm 
organizer for the ATCS Official and Official 3”; €1 .176,00  “Recharging scratch cards 
VALA 900 (20*23.52) + (12*58.8)”; €960,00  “Payment  for mobile phone” and €940,00  
“Rent a car for Head of Department”.",2.pdf,vala,96000
"960,00",Head of Department,"The ATCS Official further indicated that his/he r superiors approved all the 
bills that were in the petty cash binders, includin g, for example: €525,00  “Present for 
International Staff”; €410,00  “Present for Officia l 3 (Nokia 8850)”; €918,00  “Palm 
organizer for the ATCS Official and Official 3”; €1 .176,00  “Recharging scratch cards 
VALA 900 (20*23.52) + (12*58.8)”; €960,00  “Payment  for mobile phone” and €940,00  
“Rent a car for Head of Department”.",2.pdf,96000,head of department
2002,Finance,"The ATCS Official stated that in 2002, he/she w as not sufficiently 
experienced in financial management, therefore he/s he hired Finance Officer 1 and 
Finance Officer 2 who both had educational backgrou nd and professional 
experience in this field.",2.pdf,2002,finance
2002,February 2004,"Throughout 2002 and clearly up to February 2004 , the ATCS Management, in 
particular the ATCS Official, and the Division Mana ger failed to provide effective 
oversight of the financial operations, especially t hose related to cash at the ATCS 
Finance Office.   
 
",2.pdf,2002,february 2004
February 2004,the ATCS Management,"Throughout 2002 and clearly up to February 2004 , the ATCS Management, in 
particular the ATCS Official, and the Division Mana ger failed to provide effective 
oversight of the financial operations, especially t hose related to cash at the ATCS 
Finance Office.   
 
",2.pdf,february 2004,the atcs management
the ATCS Management,hose,"Throughout 2002 and clearly up to February 2004 , the ATCS Management, in 
particular the ATCS Official, and the Division Mana ger failed to provide effective 
oversight of the financial operations, especially t hose related to cash at the ATCS 
Finance Office.   
 
",2.pdf,the atcs management,hose
hose,"the ATCS 
Finance Office","Throughout 2002 and clearly up to February 2004 , the ATCS Management, in 
particular the ATCS Official, and the Division Mana ger failed to provide effective 
oversight of the financial operations, especially t hose related to cash at the ATCS 
Finance Office.   
 
",2.pdf,hose,the atcs finance office
ITF,Pris,"Documentation obtained by the ITF from the Pris htina Airport clearly shows 
that ATCS management failed to introduce, or enforc e, rules and regulations that 
would guarantee proper use of the allocated funds a nd provided transparent 
documentation of this process.  
 
 ",2.pdf,itf,pris
Pris,Airport,"Documentation obtained by the ITF from the Pris htina Airport clearly shows 
that ATCS management failed to introduce, or enforc e, rules and regulations that 
would guarantee proper use of the allocated funds a nd provided transparent 
documentation of this process.  
 
 ",2.pdf,pris,airport
w ho,Italy,"A significant amount of the cash withdrawals by  the ATCS was used for 
training opportunities for employees of the ATCS, w ho attended courses in a 
number of countries including Italy, Canada and the  United Kingdom.",2.pdf,w ho,italy
Italy,Canada,"A significant amount of the cash withdrawals by  the ATCS was used for 
training opportunities for employees of the ATCS, w ho attended courses in a 
number of countries including Italy, Canada and the  United Kingdom.",2.pdf,italy,canada
Canada,United Kingdom,"A significant amount of the cash withdrawals by  the ATCS was used for 
training opportunities for employees of the ATCS, w ho attended courses in a 
number of countries including Italy, Canada and the  United Kingdom.",2.pdf,canada,united kingdom
01 July 2002,0n 01 July 2002,"This examination 
was related to the situation before and also after 01 July 2002 (Note: 0n 01 July 2002 
the Pristina Airport was handed over by UNMIK Pillar  2 to UNMIK Pillar 4 – KTA).",2.pdf,01 july 2002,0n 01 july 2002
0n 01 July 2002,UNMIK Pillar,"This examination 
was related to the situation before and also after 01 July 2002 (Note: 0n 01 July 2002 
the Pristina Airport was handed over by UNMIK Pillar  2 to UNMIK Pillar 4 – KTA).",2.pdf,0n 01 july 2002,unmik pillar
06/2002,64435,"Having examined those listed files it was clearly e stablished that in cases: 49/2002; 
55/2002; 06/2002 and 07/2002 spending of € 64435 wa s not properly documented.",2.pdf,062002,64435
the ATCS Financ e Office,2002,"These findings 
clearly demonstrate the disarray at the ATCS Financ e Office in 2002.  
 
34.",2.pdf,the atcs financ e office,2002
"the United 
Kingdom",May 2002,"Additionally, the ATCS Officia l, Official 3 and Official 1 
retained a sum of €1158 of their DSA/per-diem for a  business trip to the United 
Kingdom in May 2002, even though they had been prov ided with free transport, 
food and accommodation (request 46/2002).  
 
",2.pdf,the united kingdom,may 2002
June 2002,6975,"In June 2002, the ATCS Official certified per-d iem of € 6975 for nine 
Department 1 trainees that were supposed to partici pate in meteorology training in 
the UK.  ",2.pdf,june 2002,6975
Department 1,Prishtina,"Two Department 1 staff failed their initia l examination and prematurely 
returned to Prishtina.",2.pdf,department 1,prishtina
ITF,1550,"The ITF investigation established that  request 59/2002 does not contain 
any documentation with regards to what was done wit h a sum of €1550 initially 
allocated by the ATCS Official for per-diem of thos e two ATCS employees.  
 
",2.pdf,itf,1550
early 2 004,over €100,"Since early 2 004, no cash withdrawal over €100 
has been permitted, as all sums greater than that a mount have to be effected by bank 
transfer and formally justified. 
 
",2.pdf,early 2 004,over 100
UNMIK Regulation,Kosovo,"UNMIK Regulation No.: 2001/27 - Essential Labou r Law in Kosovo in 
paragraph 9.3.",2.pdf,unmik regulation,republic of kosovo
2002,"the ATCS 
Finance Office","In particular, the use o f the assets allocated to the ATCS 
by the KTA in 2002 was inadequately documented and the performance of the ATCS 
Finance Office in that respect was unsatisfactory.",2.pdf,2002,the atcs finance office
the ATCS Finance Office,Division,"The work of the ATCS Finance Office was und er direct supervision of the 
ATCS Official and the oversight responsibility was in the hands of the Division 
Manager.",2.pdf,the atcs finance office,division
UNMIK Pillar,Division,"RECOMMENDATIONS  
 
Recommendation 1 : In light of the established irregularities and la ck of oversight at 
Prishtina Airport, UNMIK Pillar 4 – KTA should take  appropriate action against the 
ATCS Official and the Division Manager for mismanag ement of the ATCS finances. 
",2.pdf,unmik pillar,division
UNMIK Pillar,issu ed,"Recommendation 4:  UNMIK Pillar 4 – KTA  should ensure that written travel 
policies and procedures should be prepared and issu ed without further delay and 
should include the requirement for written approval  for all travel , including that 
undertaken by senior management.",2.pdf,unmik pillar,issu ed
